num He-1,SUM He-1,MAE He-1,MSE He-1,MEAN He-1,Var He-1,Loss He-1
0.1,37.99659740669365,0.012994732355230387,0.000377381813166848,0.0983336627138228,0.0003746051332156018,0.0016663372861772108
0.2,42.18160137239341,0.014425992261420455,0.00043213454661582544,0.19601916895049087,0.0004162875307711644,0.003980831049509137
0.3,42.94926905877493,0.014688532509840948,0.00044335550407752835,0.2963308098113657,0.00042989254743740213,0.0036691901886343192
0.4,40.89733628438461,0.013986777115042615,0.00043593934675650983,0.398725854536921,0.0004343159000953778,0.0012741454630790239
0.5,40.54129253157101,0.013865011125708279,0.00044509998365268466,0.5025188983715182,0.0004387551346448082,-0.0025188983715181967
0.6,43.59248652904103,0.014908511124843035,0.0005042791525865644,0.6071930147171026,0.0004525396918647062,-0.007193014717102542
0.7,46.68033512390608,0.01596454689600071,0.0005404808533879123,0.7096920798021807,0.0004465444424942566,-0.009692079802180675
0.8,46.77250579775239,0.0159960690142792,0.0005254256734670507,0.8105496048148779,0.0004141315117210942,-0.010549604814877878
0.9,40.791419443900566,0.01395055384538323,0.0004490791119090684,0.9074409892371872,0.00039371079107686224,-0.007440989237187168
1,38.15677690577145,0.013049513305667391,0.0003946708685144027,1.0043743313205733,0.0003755360940083108,-0.004374331320573299
