num He,SUM He,MAE He,MSE He,MEAN He,Var He,Loss He
0.1,15.785255614996514,0.006071252159614043,5.8296780902117295e-05,0.09546285112125956,3.7711060954266976e-05,0.004537148878740446
0.2,21.692203374558726,0.00834315514406105,9.341607016188905e-05,0.1927288844967007,4.054694949938431e-05,0.0072711155032993136
0.3,21.96537533850604,0.008448221284040784,0.00010046893409276933,0.29257402601891414,4.5323844525060886e-05,0.007425973981085909
0.4,18.29913836681973,0.007038130141084511,7.44952497830557e-05,0.39496280264641803,4.912189260469768e-05,0.00503719735358199
0.5,15.542077408361036,0.00597772208013886,5.7038801755782294e-05,0.4990402687627944,5.611771770938634e-05,0.0009597312372056077
0.6,16.136792821785505,0.00620645877760981,5.9728883934188094e-05,0.6039923417692757,4.3790091132756004e-05,-0.0039923417692756535
0.7,21.274144696996828,0.00818236334499878,9.293429493905181e-05,0.70735608713316,3.882227702567409e-05,-0.007356087133159939
0.8,25.042321722416528,0.009631662200929434,0.0001309761550083881,0.8091291570609436,4.763464636603487e-05,-0.009129157060943527
0.9,17.432717376515903,0.006704891298659962,6.809647035365608e-05,0.9055246931996418,3.757423540184934e-05,-0.0055246931996417725
1,13.264011369565038,0.005101542834448092,4.2801510626352297e-05,1.0022760599597953,3.762106169347135e-05,-0.0022760599597952957
