num dark,SUM dark,MAE dark,MSE dark,MEAN dark,Var dark,Loss dark,num GCA,SUM GCA,MAE GCA,MSE GCA,MEAN GCA,Var GCA,Loss GCA,num he,SUM he,MAE he,MSE he,MEAN he,Var he,Loss he,num mid,SUM mid,MAE mid,MSE mid,MEAN mid,Var mid,Loss mid,num my,SUM my,MAE my,MSE my,MEAN my,Var my,Loss my,num no,SUM no,MAE no,MSE no,MEAN no,Var no,Loss no
0.1,12.341502788096298,0.0025927526865748,1.2421306772085684e-05,-0.0991979786879153,1.1778068587020228e-05,-0.0008020213120847,0.1,26.685869005571604,0.0056062750011705,6.013644937822634e-05,-0.1003915607399527,5.9983129565181065e-05,0.0003915607399527,0.1,7.889857006945795,0.0016571848365775,4.10890924336123e-06,-0.0987033070039583,2.4274965173924634e-06,-0.0012966929960416,0.1,61.82683347763993,0.0120944509932785,0.0002798218076144,-0.098418664868232,0.0002773211868154,-0.0015813351317679,0.1,14.990115017329227,0.00314918382717,1.8834848325555534e-05,-0.0992683620514226,1.829955423771415e-05,-0.0007316379485774,0.1,5.487987564988689,0.0010735499931511,1.3767656907582304e-06,-0.0989321149602013,2.363872325158306e-07,-0.0010678850397986
0.2,14.436224189265646,0.0030328202078289,1.7718757224295977e-05,-0.1979979248545653,1.3710452336203329e-05,-0.0020020751454347,0.2,26.79227275049676,0.0056286287290959,6.075019426401659e-05,-0.1993235503000553,6.029261006745834e-05,-0.0006764496999446,0.2,12.100614619055689,0.0025416119762771,8.58732919560517e-06,-0.1975387250639818,2.5294548850543497e-06,-0.0024612749360181,0.2,62.64963501783371,0.0122554059111568,0.0002838301804301,-0.1972904275454969,0.0002764883975439,-0.0027095724545031,0.2,18.605160035700504,0.0039086470663236,2.653046518440521e-05,-0.1976705358377296,2.1104061901422444e-05,-0.0023294641622704,0.2,10.433665512900037,0.0020410143804577,4.4223536956722575e-06,-0.1979608349544767,2.6415961272563404e-07,-0.0020391650455233
0.3,16.833191008387637,0.0035363846656276,2.202333411397983e-05,-0.2979087506080921,1.765001009558509e-05,-0.0020912493919079,0.3,29.54489914827333,0.0062069115857717,7.105103652201548e-05,-0.2991923117146949,7.039867615533935e-05,-0.0008076882853051,0.3,12.575358516130745,0.0026413271405441,9.293624109600469e-06,-0.2974264279040111,2.6703507765013512e-06,-0.0025735720959889,0.3,62.637213957776375,0.0122529761263255,0.0002797588668697,-0.2972507254674392,0.0002722003564145,-0.0027492745325607,0.3,21.35884220145636,0.004487151722995,3.3159711108092684e-05,-0.2973752581679401,2.62704414235454e-05,-0.0026247418320599,0.3,11.14417503987562,0.0021800029420726,5.062557838724144e-06,-0.297822542104078,3.21234950195759e-07,-0.002177457895922
0.4,16.43194916056006,0.0034520901597815,2.132640783081216e-05,-0.3987427128334721,1.974563681322872e-05,-0.0012572871665278,0.4,31.58392864763903,0.0066352791276552,7.93706336477767e-05,-0.3990945185535667,7.855073699697401e-05,-0.0009054814464333,0.4,10.65939786304673,0.0022388989420388,8.164981082565768e-06,-0.397943417942663,3.935451324266204e-06,-0.0020565820573369,0.4,62.124972286677234,0.0121527723565487,0.0002767521820751,-0.3979199706850294,0.0002724256601238,-0.0020800293149706,0.4,22.15612675747816,0.0046546484784617,3.874961771753576e-05,-0.3981170336268387,3.520405535428761e-05,-0.0018829663731612,0.4,8.028496556520134,0.0015705196706807,2.817611131754916e-06,-0.3984458741195959,4.023038791822753e-07,-0.0015541258804041
0.5,16.250446760589085,0.0034139594034851,2.31592981966022e-05,-0.4997058561432078,2.3072777587451743e-05,-0.0002941438567922,0.5,32.363405306994885,0.0067990347283602,8.537872004093255e-05,-0.4996762075246073,8.527387847376278e-05,-0.0003237924753927,0.5,7.121975918956348,0.0014958991638219,3.76134880646448e-06,-0.4992300707273874,3.168557720367726e-06,-0.0007699292726126,0.5,62.058411843181446,0.0121397519255049,0.0002798974217028,-0.499015367137162,0.000278927919826,-0.0009846328628379,0.5,21.57741318982774,0.0045330699978629,3.738496502320282e-05,-0.4986701444296843,3.56164491840949e-05,-0.0013298555703156,0.5,2.915816726013156,0.0005703866834924,5.202762011048482e-07,-0.4995517307611893,3.193308896753955e-07,-0.0004482692388106
0.6,15.688405394561022,0.0032958834862523,2.1530648489094047e-05,-0.6006843461203241,2.106231887510912e-05,0.0006843461203239,0.6,33.35956186619183,0.0070083113164268,8.933325619131215e-05,-0.5997788012602051,8.928432730820335e-05,-0.0002211987397949,0.6,6.939284249832916,0.0014575266225231,3.638131130216224e-06,-0.6002232032768268,3.5883114291590523e-06,0.0002232032768266,0.6,61.77384645048424,0.012084085768874,0.0002787852513069,-0.600071278974078,0.000278780170617,7.127897407788186e-05,0.6,21.63009000308838,0.0045441365552706,3.52004920169057e-05,-0.5999182156898658,3.519380334227051e-05,-8.178431013428078e-05,0.6,3.73214361756936,0.0007300750425605,7.520845364496849e-07,-0.6006718432626651,3.007111657460371e-07,0.000671843262665
0.7,14.808982272152868,0.0031111307294438,1.7224536009229362e-05,-0.7008527320983312,1.649738397796474e-05,0.0008527320983311,0.7,34.83933418380559,0.0073191878537406,9.712338072853798e-05,-0.7002587534027597,9.7056427404818e-05,0.0002587534027596,0.7,7.792896437273816,0.0016368192474845,4.1865621603313125e-06,-0.7011050453961961,2.965436835422608e-06,0.001105045396196,0.7,61.710596127430826,0.0120717128574786,0.0002768480769529,-0.7009670768119027,0.0002759128393914,0.0009670768119026,0.7,22.823062850754376,0.0047947611030996,3.870720484863076e-05,-0.7001712510779969,3.8677877917114856e-05,0.0001712510779968,0.7,7.703443119996948,0.0015069333176832,2.57463344943949e-06,-0.7014970969033066,3.333343121525445e-07,0.0014970969033065
0.8,13.493228104912829,0.0028347117867463,1.4815599530678206e-05,-0.80119665143111,1.3383624874463427e-05,0.0011966514311099,0.8,34.68189812926698,0.007286113052367,9.743076775394132e-05,-0.8004855436986084,9.719501507232664e-05,0.0004855436986083,0.8,7.843394119555277,0.001647425776004,4.342494158858976e-06,-0.8013376642938401,2.55314839059384e-06,0.00133766429384,0.8,61.51663084308481,0.012033769726738,0.0002742255105932,-0.8011952567095413,0.0002727968719898,0.0011952567095412,0.8,22.95318607541452,0.004822097915003,3.961932257780148e-05,-0.800519113703725,3.934984354092563e-05,0.0005191137037249,0.8,9.084469643459665,0.0017770871759506,3.468524436924826e-06,-0.8017756992646646,3.154165569840828e-07,0.0017756992646645
0.9,11.20581662236278,0.0023541631559585,1.0672274679793383e-05,-0.9001419373564703,1.0652128460630904e-05,0.0001419373564702,0.9,34.41648662443187,0.0072303543328638,9.83155096068813e-05,-0.9010663727147076,9.717835884393013e-05,0.0010663727147074,0.9,5.919128422495758,0.0012432531868296,2.5821723694354097e-06,-0.9004930892044635,2.339035406917489e-06,0.0004930892044634,0.9,61.30203149332503,0.0119917901982247,0.0002726468304085,-0.9005736516023527,0.0002723177542459,0.0005736516023526,0.9,23.209820960135826,0.0048760128067512,4.035083251681906e-05,-0.8994293031925978,4.002513767364935e-05,-0.0005706968074021,0.9,5.600114386047039,0.0010954840348292,1.4233019220921396e-06,-0.9010694115932152,2.7966076743268786e-07,0.0010694115932151
1.0,12.664640155598253,0.0026606386881508,1.4667950579936915e-05,-0.9996814503336204,1.4566476686517229e-05,-0.0003185496663794,1.0,34.26165788955336,0.0071978272877212,9.805821311890904e-05,-1.0004629533784262,9.784388729161542e-05,0.0004629533784261,1.0,6.403953126765714,0.0013450857229081,3.3309810632493317e-06,-0.999616553854497,3.183950118779144e-06,-0.000383446145503,1.0,61.17225749624044,0.0119664040485603,0.0002744556401962,-0.99970215696158,0.0002743669297171,-0.0002978430384199,1.0,25.46386213282427,0.0053495508682403,4.5929847801547024e-05,-0.9989410586138237,4.480849094179451e-05,-0.0010589413861764,1.0,3.379441579448739,0.0006610801211754,7.937514423827884e-07,-1.0003594020407345,6.645816148509454e-07,0.0003594020407344
