num dark,SUM dark,MAE dark,MSE dark,MEAN dark,Var dark,Loss dark
0.1,14.761287038551288,0.003013122481843496,1.0979867260549535e-05,-0.09710604727239144,2.604904870955743e-06,-0.002893952727608562
0.2,22.711958870196295,0.004636039777545681,2.3848228439028865e-05,-0.19538098359653305,2.512915903307711e-06,-0.004619016403466958
0.3,23.10357287664554,0.00471597731713524,2.4798909520043656e-05,-0.29529499524116276,2.6618397393207704e-06,-0.004705004758837283
0.4,14.944263447339948,0.003050472228483353,1.1722580609649115e-05,-0.3970448354796377,2.989583268164786e-06,-0.002955164520362319
0.5,7.055160018938611,0.0014401224778400922,3.6008524230148133e-06,-0.49968070322213454,3.4989019927489373e-06,-0.0003192967778654632
0.6,12.582092025502913,0.002568298025209821,9.151850037579597e-06,-0.6024166834042767,3.3114913606802077e-06,0.0024166834042765872
0.7,20.20742452892781,0.00412480598671725,1.990223404254219e-05,-0.7040872656512648,3.19649353813789e-06,0.004087265651264715
0.8,20.78392575851926,0.004242483314659984,2.083948990814699e-05,-0.8041547075161416,3.5778953569876037e-06,0.004154707516141554
0.9,13.47582700277966,0.0027507301495773955,9.436936687554536e-06,-0.9026303671325795,2.518105436388751e-06,0.0026303671325794697
1,6.553737656619148,0.0013377704953294852,3.1443571615274303e-06,-1.000312125895628,3.04693458463845e-06,0.00031212589562801263
