num Sample_di,SUM Sample_di,MAE Sample_di,MSE Sample_di,MEAN Sample_di,Var Sample_di,Loss Sample_di
0,162.1460456391378,0.07133569979724497,0.011194204153222025,0.014732173395443159,0.010977167220268622,-0.014732173395443159
0.1,42756.48769102981,21.324931516723098,2420.2803329594503,-21.14278464908309,1969.0244333121314,21.24278464908309
0.2,183.46478306505045,0.08001080814001328,0.014222373345998901,0.2291656656767477,0.013371737291630999,-0.029165665676747693
0.3,168.6411901522341,0.07386823922568292,0.011338538617947069,0.3190638896585375,0.010975106729034234,-0.019063889658537447
0.4,8818.534334450316,4.217376534887765,314.1063992834807,4.5507954618921325,296.87729631701666,-4.150795461892132
0.5,164.4226357717122,0.07453428638790217,0.011322543365548774,0.5091420610518925,0.011238966085273028,-0.009142061051892525
0.6,143.38245620434589,0.0665656714040603,0.010115305015629291,0.6196453849256484,0.009729363866750551,-0.019645384925648268
0.7,169.9983490099156,0.07769577194237458,0.012139540052539652,0.7343271374923626,0.010961187684120466,-0.03432713749236249
0.8,29148.58208999998,15.579145959380002,1592.2975415924939,-14.687787082147496,1352.4259928905558,15.487787082147497
0.9,155.475446192142,0.06931584761129826,0.009151602375585882,0.9214137468167153,0.00869305382285579,-0.021413746816715262
1,164.96380251173287,0.07257536406147508,0.011406916611054894,1.0120141383378896,0.011262577091055048,-0.012014138337889557
