num Sample_do,SUM Sample_do,MAE Sample_do,MSE Sample_do,MEAN Sample_do,Var Sample_do,Loss Sample_do
0,35.37444070418759,0.015373507476830766,0.00043012964004226595,-0.006328655210338516,0.0003900777632709211,0.006328655210338516
0.1,38.540585987847535,0.016749494127704274,0.0004652105687008465,0.08958652768301963,0.00035677016300429513,0.01041347231698038
0.2,45.87769891043137,0.019938156849383472,0.0006785213244823423,0.18759496303272885,0.0005246363823230432,0.01240503696727116
0.3,46.45367427593778,0.020188472088630064,0.0006810120926431629,0.2865946623679584,0.0005013090156141126,0.013405337632041658
0.4,46.03566427089446,0.020006807592739876,0.0006740400805282161,0.3879125396145127,0.0005279333819567245,0.012087460385487303
0.5,44.36569106983189,0.019281047835650537,0.0006572236939206515,0.49048892046953724,0.0005667630600859619,0.009511079530462763
0.6,40.40704103520427,0.01756064364850251,0.0006109500626073408,0.5951856316269073,0.0005877719197747155,0.004814368373092792
0.7,37.91099013031878,0.016475875762850405,0.0005639079893664996,0.6974889557525344,0.0005576026461522332,0.0025110442474656214
0.8,38.62653026027863,0.016786844963180628,0.0005736979744760707,0.7983840500868742,0.000571086680354882,0.0016159499131258581
0.9,38.61464692078203,0.016781680539235996,0.0005780629720559285,0.8965449557282756,0.0005661256411380045,0.0034550442717243834
1,41.23811719553048,0.017921824074546056,0.0006218620600166118,0.9938875262958362,0.0005844997252361095,0.00611247370416379
