num Sample_mid,SUM Sample_mid,MAE Sample_mid,MSE Sample_mid,MEAN Sample_mid,Var Sample_mid,Loss Sample_mid
0,19.64633226938123,0.008538171346971416,0.00014606841321203106,0.0004921808050421238,0.00014582617126717915,-0.0004921808050421238
0.1,21.156857447247045,0.009194636004887895,0.00016452757386490428,0.09554445593837636,0.00014467570097981275,0.0044555440616236425
0.2,26.017510735711994,0.011307045082882222,0.0002175440875548363,0.19250249179932355,0.00016133145833558543,0.0074975082006764615
0.3,27.411437234130776,0.011912836694537495,0.0002220037381512635,0.2921445158458642,0.00016029510685520998,0.007855484154135839
0.4,24.068848592940576,0.010460168880026327,0.0001842305864463042,0.3948960403134199,0.00015818018196500638,0.005103959686580117
0.5,20.843126074917663,0.009058290341120236,0.00016350173851876966,0.49808767648243163,0.0001598447572827011,0.0019123235175683706
0.6,23.757476465004906,0.01032484852890261,0.00019948446262333655,0.6040178438649608,0.0001833413933019501,-0.004017843864960735
0.7,26.429288616457004,0.011486001137095612,0.00021904191308284602,0.7072169793564239,0.00016695712205005986,-0.007216979356423847
0.8,25.95032868200889,0.01127784818861751,0.00022657490825538144,0.8068318257360141,0.00017990106537191242,-0.006831825736014041
0.9,21.730522387052826,0.009443947147784801,0.00017195197081728005,0.9030638702736499,0.0001625646697640537,-0.003063870273649849
1,19.972548028292806,0.008679942645933423,0.00015343153029483527,1.000288883843989,0.000153348076419757,-0.00028888384398895184
