num Sample_no,SUM Sample_no,MAE Sample_no,MSE Sample_no,MEAN Sample_no,Var Sample_no,Loss Sample_no
0,5.929921482992168,0.002577106250757135,1.2937035488278425e-05,0.00013654270987612874,1.2918391576658108e-05,-0.00013654270987612874
0.1,12.499688456623426,0.005432285291883279,4.095217982027424e-05,0.09530988790869611,1.8955028391260884e-05,0.004690112091303891
0.2,18.670195346100282,0.00811394843376805,8.313855661515962e-05,0.19243494584126883,2.5908512190440935e-05,0.007565054158731183
0.3,19.80930102121396,0.008608996532470214,9.672401009479801e-05,0.2922633331323949,3.686799587426792e-05,0.0077366668676051575
0.4,14.631043554739355,0.006358558693932793,5.678303836154326e-05,0.39511743748815514,3.2943621678910295e-05,0.004882562511844879
0.5,9.133178092922886,0.003969221248554058,2.798228251315399e-05,0.49912108857967147,2.7209797228644472e-05,0.000878911420328532
0.6,11.491228628841455,0.004994015049474774,4.364505998462505e-05,0.6038226750061689,2.903221578143267e-05,-0.003822675006168841
0.7,17.526181286652506,0.007616767182378316,7.939516369744555e-05,0.7071694245110105,2.799451587942592e-05,-0.007169424511010436
0.8,17.3842209189369,0.00755507210731721,7.788464853027082e-05,0.807242276395271,2.5434081142527987e-05,-0.0072422763952709746
0.9,11.038503895601954,0.004797263752977816,3.46588277703881e-05,0.9041662644616472,1.7301068202968395e-05,-0.00416626446164714
1,5.929921482992569,0.0025771062507573095,1.2937035488280004e-05,1.0001365427098758,1.2918391579130883e-05,-0.00013654270987584205
